title,interviewee,interviewer,date,datenice,dates,affiliation (role),affiliation (department),description,biography,subject (lcsh),subjects (lctgm),subject,location,object type,notes,language,language code,digital collection,digital id number,ordering information,citation information,repository,repository collection,rights uri,restrictions,type,staff notes,cataloging,extent,format,original format,file name,digital reproduction information,oclc number,date created,date modified,reference url,compound-parent,compound,cdmid,contentdm file name,contentdm file path,objectid,reference_url
"Karin Dalesky, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201909-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_kdalesky_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/114","116","","114","115.jp2","/p16786coll18/image/115.jp2","foundingstories113","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories113.html"
"Karin Dalesky, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201909-Audio","","","","","","","Sound","","","1:35:45","audio/mp3","audio/wav","uwtlib_uwtoralhistory_kdalesky_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/115","116","","115","116.mp3","/p16786coll18/image/116.mp3","foundingstories114","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories114.html"
"Karin Dalesky, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201909-Transcript","","","","","","","Text","","","25 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_kdalesky_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/116","116","","116","117.pdf","/p16786coll18/image/117.pdf","foundingstories115","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories115.html"
"Karin Dalesky interview","Dalesky, Karin","Hua, Joan, 1989-","2019-11-07","November 7, 2019","2019","Staff; Student","School of Interdisciplinary Arts and Science","Karin Dalesky talks about her 23-plus years of experience at UW Tacoma as both a student and staff member. She shares the unique needs and perspectives of nontraditional students, her impressions of the new campus location when it opened in 1997, and changes when UW Tacoma became a four-year university and welcomed its first freshmen class in 2006. She also discusses her queer identity and how it has shaped her experience. She characterizes her undergraduate education at UW Tacoma as transformative and recalls a sense of redemption on a personal level as well as for Tacoma, her hometown.","Karin Dalesky is a University of Washington Tacoma alumna and staff member. She holds her bachelor&#39;s degree and Master of Arts in Interdisciplinary Studies from UW Tacoma. She currently serves as an advisor in the School of Interdisciplinary Arts and Sciences. She first enrolled as a student in 1996 to finish her bachelor&#39;s degree and was involved in campus organizations such as the Pride Coalition and the Women&#39;s Network. She has been a UW Tacoma employee for over 20 years. Prior to UW Tacoma, Dalesky worked for the Tacoma School District. Dalesky is a proud Tacoma resident and has witnessed the transformation of downtown since the late 1960s.","Dalesky, Karin--Interviews; University of Washington Tacoma--Employees; University of Washington Tacoma--History; Student affairs services--Washington (State)--Tacoma; Sexual minority students--Washington (State)--Tacoma--Interviews; Interdisciplinary approach in education--Washington (State)--Tacoma","","nontraditional students; student services; diversity; interdisciplinary education; Carolyn West; gender; LGBTQ; Pride Coalition; Women&#39;s Network; student organization; Pat McCarthy","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Karin Dalesky was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201909","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201909","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176416710","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/117","","114; 115; 116","117","118.cpd","/p16786coll18/image/118.cpd","foundingstories116","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories116.html"
"William Richardson, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202010-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_wrichardson_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/118","120","","118","119.jp2","/p16786coll18/image/119.jp2","foundingstories117","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories117.html"
"William Richardson, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202010-Audio","","","","","","","Sound","","","1:07:42","audio/mp3","audio/wav","uwtlib_uwtoralhistory_wrichardson_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/119","120","","119","120.mp3","/p16786coll18/image/120.mp3","foundingstories118","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories118.html"
"William Richardson, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202010-Transcript","","","","","","","Text","","","21 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_wrichardson_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/120","120","","120","121.pdf","/p16786coll18/image/121.pdf","foundingstories119","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories119.html"
"William Richardson interview","Richardson, William, 1947-","Williams, Charles Thomas","2020-01-23","January 23, 2020","2020","Faculty; University administrator","Liberal Studies; School of Interdisciplinary Arts and Science","In this interview, Bill Richardson recalls his experience as a founding faculty member of UW Tacoma. He shares his motivation to help build a university, having witnessed the establishment of UC Santa Cruz and UC Irvine during his time as a student in the University of California system. He describes the unique hiring process and framework for the curriculum following the Washington state mandate to create branch campuses. He discusses team teaching, the interdisciplinary approach that was emphasized in the founding of UW Tacoma, and the relationship between the three UW campuses. He mentions representation in the faculty and early efforts to recruit and increase gender and ethnic diversity.","Bill Richardson (b. 1947) was a founding faculty member of University of Washington Tacoma and the first director of the Liberal Studies program, known today as the School of Interdisciplinary Arts and Sciences. He served as UW Tacoma&#39;s acting dean from 1994 to 1995. He retired in 2006. Prior to UW Tacoma, Richardson was a faculty member for 12 years at Wichita State University in Kansas. He holds a BA in history and Russian from University of California, Santa Barbara, and a PhD from UC Berkeley.","Richardson, William, 1947--Interviews; University of Washington Tacoma--Faculty; Wichita State University--Faculty; Nihongo Gakko (Tacoma, Wash.); Interdisciplinary research--Washington (State)--Tacoma; Curriculum planning--Washington (State)--Tacoma; Education, Humanistic--Washington (State)--Tacoma; University of Washington Tacoma--History","","academic administration; curriculum planning; research; University of California; branch campuses; interdisciplinary education; interdisciplinarity; Russian; history; team teaching; diversity; hiring; recruitment; enrollment; Japanese Language School; historic preservation; Bill Richardson","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Bill Richardson was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202010","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202010","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176367971","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/121","","118; 119; 120","121","122.cpd","/p16786coll18/image/122.cpd","foundingstories120","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories120.html"
"Anthony D&#39;Costa, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201811-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_adcosta_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/122","124","","122","123.jp2","/p16786coll18/image/123.jp2","foundingstories121","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories121.html"
"Anthony D&#39;Costa, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201811-Audio","","","","","","","Sound","","","1:05:45","audio/mp3","audio/wav","uwtlib_uwtoralhistory_adcosta_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/123","124","","123","124.mp3","/p16786coll18/image/124.mp3","foundingstories122","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories122.html"
"Anthony D&#39;Costa, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH201811-Transcript","","","","","","","Text","","","20 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_adcosta_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/124","124","","124","125.pdf","/p16786coll18/image/125.pdf","foundingstories123","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories123.html"
"Anthony D&#39;Costa interview","D&#39;Costa, Anthony P., 1957-","Williams, Charles Thomas","2018-10-17","October 17, 2018","2018","Faculty","Liberal Studies; School of Interdisciplinary Arts and Science","In this interview, Anthony D&#39;Costa talks about his research interests that blend international development, sociology, economics, and political science, and how they align with the interdisciplinary emphasis at UW Tacoma when it was first established as a branch campus. He shares observations from his first visit to the Puget Sound area and the initial hiring and curriculum planning convenings.","Anthony D&#39;Costa (b. 1957) is a founding faculty member of University of Washington Tacoma, where he taught from 1990 to 2008. He has subsequently been a professor at the Copenhagen Business School, University of Melbourne, and University of Alabama Huntsville. He received his MA in economics from the Birla Institute of Technology and Science and his PhD in International Development Studies from University of Pittsburgh. At UW Tacoma, he served as the vice chair of the Faculty Assembly and was involved in the Faculty Council on Tri-Campus Policy.","D&#39;Costa, Anthony P., 1957--Interviews; University of Washington Tacoma--Faculty; Interdisciplinary research--Washington (State)--Tacoma; Economics--Washington (State)--Tacoma; Curriculum planning--Washington (State)--Tacoma;  Education, Humanistic--Washington (State)--Tacoma; University of Washington Tacoma--History","","curriculum planning; research; branch campuses; interdisciplinary education; interdisciplinarity; industrialization; naval shipyard; Port of Tacoma; Washington Alliance of Technology Workers; urban development","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Anthony D&#39;Costa was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH201811","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH201811","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176360945","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/125","","122; 123; 124","125","126.cpd","/p16786coll18/image/126.cpd","foundingstories124","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories124.html"
"Christine Connerly, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202011-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_cconnerly_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/126","128","","126","127.jp2","/p16786coll18/image/127.jp2","foundingstories125","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories125.html"
"Christine Connerly, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202011-Audio","","","","","","","Sound","","","1:29:25","audio/mp3","audio/wav","uwtlib_uwtoralhistory_cconnerly_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/127","128","","127","128.mp3","/p16786coll18/image/128.mp3","foundingstories126","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories126.html"
"Christine Connerly, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202011-Transcript","","","","","","","Text","","","22 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_cconnerly_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/128","128","","128","129.pdf","/p16786coll18/image/129.pdf","foundingstories127","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories127.html"
"Christine Connerly interview","Connerly, Christine","Hua, Joan, 1989-","2020-01-30","January 30, 2020","2020","Staff","Student Affairs","Christine Connerly shares her personal perspective on the establishment, siting, and growth of UW Tacoma as a Tacoma native who has had a career in students affairs and academic assistance. She discusses the need to create public education opportunities. She weaves in her personal background as the daughter of teachers, sharing her father&#39;s experience changing careers and returning to school as a commuter student. She gives the context of Tacoma&#39;s contentious history with different populations and neighborhoods. Remembering her own involvement in the Arts Commision, she also shares her knowledge of public art and the role it has played in the transformation and architecture of downtown Tacoma.","Christine Connerly (b. 1958), formerly known as Chris Benton, is a mixed media artist and photographer living near Chico, California. A Tacoma native, Connerly worked in Student Services at University of Washington Tacoma from its beginning days until 1998. Prior to UW Tacoma, she worked in UW Admissions for three years. She later worked as the Director of Academic Assistance Programs at Pacific Lutheran University (PLU) and Associate Director of the Student Learning Center at California State University, Chico, until she retired in 2018. She attended K-12 schools in Tacoma, is a graduate of Woodrow Wilson High School, and earned her BA at PLU and MA at UW.","Connerly, Christine--Interviews; College administrators--Washington (State)-- Tacoma; University of Washington. Office of Admissions--Employees; Historic preservation--Washington (State)--Tacoma; Artists--Washington (State)--Tacoma--Interviews; University of Washington Tacoma--History","","student services; Arts Commission; urban development; place-bound students; nontraditional students; advising; Higher Education Coordinating (HEC) Board; Union Station; historic preservation; Theater District; Tacoma Dome; public art; Dale Chihuly; Japanese Language School; Tacoma Method; diversity; Japanese American incarceration; Transcontinental Railroad","United States--Washington (State)--Tacoma","Oral histories","The oral history interview with Christine Connerly was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202011","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202011","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176369582","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/129","","126; 127; 128","129","130.cpd","/p16786coll18/image/130.cpd","foundingstories128","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories128.html"
"Marcia Monroe, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202007-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_mmonroe_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/130","132","","130","131.jp2","/p16786coll18/image/131.jp2","foundingstories129","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories129.html"
"Marcia Monroe, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202007-Audio","","","","","","","Sound","","","1:21:25","audio/mp3","audio/mp3","uwtlib_uwtoralhistory_mmonroe_access.mp3","Original 32bit/44kHz mp3 files recorded on Zencastr platform in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/131","132","","131","132.mp3","/p16786coll18/image/132.mp3","foundingstories130","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories130.html"
"Marcia Monroe, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202007-Transcript","","","","","","","Text","","","19 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_mmonroe_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/132","132","","132","133.pdf","/p16786coll18/image/133.pdf","foundingstories131","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories131.html"
"Marcia Monroe interview","Monroe, Marcia","Hua, Joan, 1989-","2020-05-13","May 13, 2020","2020","Staff","Library","Marcia Monroe shares memories from her 28 years of experience working at the UW Tacoma Library. She recounts her introduction to the library profession, and she describes in detail UW Tacoma&#39;s initial location in the Perkins Building, located at A Street next to the Thea Foss Waterway. She recalls memorable moments such as meeting and feeling impressed by the first library director, Deborah Stansbury Sunday, and visiting the construction site of what later became the UW Tacoma permanent campus. She reflects on the enormous impact technological advances have had on library services and information access over the past several decades.","Marcia Monroe (b. 1963) is a longtime staff member at University of Washington Tacoma, currently serving in the role of Access Services Supervisor at the Library. She grew up in a military family and has lived in many places, including Maryland, New Jersey, Germany, and Lakewood, Washington. She attended Pacifc Lutheran University in Parkland, Washington, earning her Bachelor of Arts in Spanish. She joined the UW Tacoma staff in 1992 and has trained and mentored numerous student employees since.","Monroe, Marcia, 1963--Interviews; Library employees--Washington (State)--Tacoma--Interviews.; Children of military personnel--Washington (State)--Tacoma--Interviews.; Educational technology--Washington (State)--Tacoma; University of Washington Tacoma--History","","Military; Joint Base Lewis–McChord (JBLM); Deborah Stansbury Sunday; internet; digital age; library; librarianship; nontraditional students; student employees; Black Student Union (BSU); Lisa Rankin; apartheid; COVID-19","United States--Washington (State)--Tacoma; United States--Maryland; United States--New Jersey","Oral histories","The oral history interview with Marcia Monroe was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202007","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202007","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176434420","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/133","","130; 131; 132","133","134.cpd","/p16786coll18/image/134.cpd","foundingstories132","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories132.html"
"Sam H. Smith, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202008-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_samsmith_photo.jpg","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/134","136","","134","135.jp2","/p16786coll18/image/135.jp2","foundingstories133","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories133.html"
"Sam H. Smith, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202008-Audio","","","","","","","Sound","","","1:24:13","audio/mp3","audio/wav","uwtlib_uwtoralhistory_samsmith_access.mp3","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/135","136","","135","136.mp3","/p16786coll18/image/136.mp3","foundingstories134","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories134.html"
"Sam H. Smith, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202008-Transcript","","","","","","","Text","","","21 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_samsmith_transcript.pdf","","","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/136","136","","136","137.pdf","/p16786coll18/image/137.pdf","foundingstories135","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories135.html"
"Sam H. Smith interview","Smith, Samuel H., 1940-","Wadland, Justin","2020-02-11","February 11, 2020","2020","University administrator","Washington State University","In this interview, Sam Smith discusses his personal background as the son of migrant farmworkers, the transformative impact his education has had on his life, and influential mentors who guided him on a path to becoming a leader in higher education. He mentions specifically John Oswald, former president of University of Kentucky and Pennsylvania State University, and Clark Kerr, first chancellor of UC Berkeley and president emeritus of the University of California system. He notes the vision he had for WSU when he arrived in 1985 and accomplishments during his administration. He remembers the strategic discussions he has had with Tacoma community leaders and powerbrokers, particularly the late Kelso Gillenwater, publisher of the Tacoma News Tribune, about establishing WSU branch campuses. Finally, he offers his insights on branch campuses and the mission to serve students.","Samuel H. Smith (b. 1940) is president emeritus of Washington State University. He retired in 2000. During his presidency at WSU, he successfully established WSU Spokane, WSU Tri-Cities, and WSU Vancouver. Surveying potential WSU branch campus locations in the late 1980s, he was invited to Tacoma for a famous helicopter tour, arranged by Ryan Petty of the Economic Development Board. Prior to arriving at WSU in 1985, Smith worked at Pennsylvania State University for 16 years, initially as a faculty member, then department head, and finally, dean of the College of Agriculture and director of both the Cooperative Extension Service and Agricultural Experiment Station. He was a faculty member at University of California at Berkeley prior to Penn State. Smith earned 2 plant pathology degrees from UC Berkeley, a bachelor’s in 1961 and a PhD in 1964.","Smith, Samuel H., $d 1940--Interviews; Gillenwater, Kelso; Oswald, John W. (John Wieland), 1917-1995; Washington State University--Presidents; Pennsylvania State University--Faculty; University of California, Berkeley--Faculty; University of Washington Tacoma--History","","Higher Education Coordinating (HEC) Board; Kelso Gillenwater; Herb Simon; News Tribune; Washington State Legislature; Ryan Petty; University of California, Berkeley; Pennsylvania State University; branch campuses; place-bound students; Washington State University; Western Governors University; plant virology; DNA; farmworker; first-generation student","United States--Washington (State)--Tacoma; United States--Washington (State)--Pullman; United States--Pennsylvania--State College; United States--California--Salinas","Oral histories","The oral history interview with Sam H. Smith was part of the “Founding Stories” phase of the UW Tacoma Oral History Project.","English","eng","University of Washington Tacoma Oral History: Founding Stories","UWTOH202008","To request a high resolution or uncompressed reproduction, or to obtain permission to use any portion of this item, contact University of Washington Tacoma Library. Email: taclibdc@uw.edu. Please reference the Digital ID Number.","University of Washington Libraries, University of Washington Tacoma Library, UWTOH202008","University of Washington Tacoma Library","University of Washington Tacoma Oral History: Founding Stories","http://rightsstatements.org/vocab/InC-EDU/1.0/","Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see: http://content.lib.washington.edu","Sound; Text; StillImage","update URL for Restrictions","","","cpd","","","","1176362159","2020-07-21","2020-07-21","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/137","","134; 135; 136","137","138.cpd","/p16786coll18/image/138.cpd","foundingstories136","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories136.html"
"Anne Haley, photograph","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202012-Image","","","","","","","StillImage","","","","image/jpg","image/jpg","uwtlib_uwtoralhistory_ahaley_photo.jpg","","","2020-07-29","2020-07-29","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/138","140","","138","139.jp2","/p16786coll18/image/139.jp2","foundingstories137","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories137.html"
"Anne Haley, audio","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202012-Audio","","","","","","","Sound","","","0:49:17","audio/mp3","audio/wav","uwtlib_uwtoralhistory_ahaley_access","Converted from digital 24bit/96kHz wav files to 32bit/48kHz mp3 files in 2020.","","2020-07-29","2020-07-29","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/139","140","","139","140.mp3","/p16786coll18/image/140.mp3","foundingstories138","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories138.html"
"Anne Haley, transcript","","","","","","","","","","","","","","Oral histories","","","","University of Washington Tacoma Oral History: Founding Stories","UWTOH202012-Transcript","","","","","","","Text","","","15 pages","application/pdf","text/docs","uwtlib_uwtoralhistory_ahaley_transcript.pdf","","","2020-07-29","2020-07-29","http://cdm16786.contentdm.oclc.org/cdm/ref/collection/p16786coll18/id/140","140","","140","141.pdf","/p16786coll18/image/141.pdf","foundingstories139","https://uwtacomalibrary.github.io/foundingstories/items/foundingstories139.html"
